paragraph_id,word,attribution,absolute_attribution,rank
pride_and_prejudice_TFamil_P21,Her,0.18032491207122803,0.18032491207122803,2.0
pride_and_prejudice_TFamil_P21,performance,0.07895065099000931,0.07895065099000931,9.0
pride_and_prejudice_TFamil_P21,was,0.011985762044787407,0.011985762044787407,42.0
pride_and_prejudice_TFamil_P21,"agreeable,",0.17543094605207443,0.17543094605207443,3.0
pride_and_prejudice_TFamil_P21,though,0.09818743169307709,0.09818743169307709,8.0
pride_and_prejudice_TFamil_P21,not,-0.0036646490916609764,0.0036646490916609764,53.0
pride_and_prejudice_TFamil_P21,outstanding.,-0.10946743190288544,0.10946743190288544,7.0
pride_and_prejudice_TFamil_P21,After,0.004218895919620991,0.004218895919620991,52.0
pride_and_prejudice_TFamil_P21,a,-0.041328053921461105,0.041328053921461105,22.0
pride_and_prejudice_TFamil_P21,song,0.07501019537448883,0.07501019537448883,11.0
pride_and_prejudice_TFamil_P21,or,0.02945256419479847,0.02945256419479847,26.0
pride_and_prejudice_TFamil_P21,two,0.02856885828077793,0.02856885828077793,28.0
pride_and_prejudice_TFamil_P21,and,-0.017641998827457428,0.017641998827457428,34.0
pride_and_prejudice_TFamil_P21,before,-0.01704471930861473,0.01704471930861473,35.0
pride_and_prejudice_TFamil_P21,she,-0.013660173863172531,0.013660173863172531,39.0
pride_and_prejudice_TFamil_P21,could,-0.010003139264881611,0.010003139264881611,44.0
pride_and_prejudice_TFamil_P21,answer,0.0035394560545682907,0.0035394560545682907,54.0
pride_and_prejudice_TFamil_P21,the,0.004316022619605064,0.004316022619605064,51.0
pride_and_prejudice_TFamil_P21,various,0.059395335614681244,0.059395335614681244,15.0
pride_and_prejudice_TFamil_P21,entreaties,0.1685822643339634,0.1685822643339634,4.0
pride_and_prejudice_TFamil_P21,to,0.023892851546406746,0.023892851546406746,31.0
pride_and_prejudice_TFamil_P21,sing,0.06625526398420334,0.06625526398420334,12.0
pride_and_prejudice_TFamil_P21,"again,",0.008944702334702015,0.008944702334702015,47.0
pride_and_prejudice_TFamil_P21,she,0.05811936780810356,0.05811936780810356,16.0
pride_and_prejudice_TFamil_P21,yielded,0.03605303168296814,0.03605303168296814,25.0
pride_and_prejudice_TFamil_P21,the,0.009961411356925964,0.009961411356925964,45.0
pride_and_prejudice_TFamil_P21,instrument,0.04973490536212921,0.04973490536212921,20.0
pride_and_prejudice_TFamil_P21,eagerly,-0.0027305898256599903,0.0027305898256599903,55.0
pride_and_prejudice_TFamil_P21,to,0.0632186010479927,0.0632186010479927,14.0
pride_and_prejudice_TFamil_P21,her,-0.013050347566604614,0.013050347566604614,40.0
pride_and_prejudice_TFamil_P21,sister,0.0063600242137908936,0.0063600242137908936,48.0
pride_and_prejudice_TFamil_P21,"Mary,",-0.019203132949769497,0.019203132949769497,33.0
pride_and_prejudice_TFamil_P21,"who,",-0.01156203355640173,0.01156203355640173,43.0
pride_and_prejudice_TFamil_P21,being,0.02777864784002304,0.02777864784002304,29.0
pride_and_prejudice_TFamil_P21,the,0.01556285098195076,0.01556285098195076,36.0
pride_and_prejudice_TFamil_P21,only,0.014567120000720024,0.014567120000720024,37.0
pride_and_prejudice_TFamil_P21,plain,0.0010893396101891994,0.0010893396101891994,57.0
pride_and_prejudice_TFamil_P21,sister,0.005772444419562817,0.005772444419562817,49.0
pride_and_prejudice_TFamil_P21,in,0.03684820979833603,0.03684820979833603,24.0
pride_and_prejudice_TFamil_P21,the,0.022327348589897156,0.022327348589897156,32.0
pride_and_prejudice_TFamil_P21,family,-0.009744154289364815,0.009744154289364815,46.0
pride_and_prejudice_TFamil_P21,and,-0.0003092177212238312,0.0003092177212238312,58.0
pride_and_prejudice_TFamil_P21,thus,0.055179838091135025,0.055179838091135025,18.0
pride_and_prejudice_TFamil_P21,eager,0.027674827724695206,0.027674827724695206,30.0
pride_and_prejudice_TFamil_P21,to,0.07744358479976654,0.07744358479976654,10.0
pride_and_prejudice_TFamil_P21,acquire,0.057847511023283005,0.057847511023283005,17.0
pride_and_prejudice_TFamil_P21,knowledge,0.005268643610179424,0.005268643610179424,50.0
pride_and_prejudice_TFamil_P21,and,-0.01398824155330658,0.01398824155330658,38.0
pride_and_prejudice_TFamil_P21,"accomplishments,",0.05321533605456352,0.05321533605456352,19.0
pride_and_prejudice_TFamil_P21,was,0.06359536945819855,0.06359536945819855,13.0
pride_and_prejudice_TFamil_P21,perpetually,-0.042432013899087906,0.042432013899087906,21.0
pride_and_prejudice_TFamil_P21,eager,0.13613659143447876,0.13613659143447876,5.0
pride_and_prejudice_TFamil_P21,for,0.12097498029470444,0.12097498029470444,6.0
