paragraph_id,phrase,phrase_length,attribution,absolute_attribution,rank
pride_and_prejudice_TFamil_P21,Her performance,2,0.25927556306123734,0.25927556306123734,3.0
pride_and_prejudice_TFamil_P21,performance was,2,0.09093641303479671,0.09093641303479671,18.0
pride_and_prejudice_TFamil_P21,"was agreeable,",2,0.18741670809686184,0.18741670809686184,7.0
pride_and_prejudice_TFamil_P21,"agreeable, though",2,0.2736183777451515,0.2736183777451515,2.0
pride_and_prejudice_TFamil_P21,though not,2,0.09452278260141611,0.09452278260141611,15.0
pride_and_prejudice_TFamil_P21,not outstanding.,2,-0.11313208099454641,0.11313208099454641,11.0
pride_and_prejudice_TFamil_P21,outstanding. After,2,-0.10524853598326445,0.10524853598326445,12.0
pride_and_prejudice_TFamil_P21,After a,2,-0.037109158001840115,0.037109158001840115,39.0
pride_and_prejudice_TFamil_P21,a song,2,0.033682141453027725,0.033682141453027725,41.0
pride_and_prejudice_TFamil_P21,song or,2,0.1044627595692873,0.1044627595692873,14.0
pride_and_prejudice_TFamil_P21,or two,2,0.0580214224755764,0.0580214224755764,28.0
pride_and_prejudice_TFamil_P21,two and,2,0.010926859453320503,0.010926859453320503,51.0
pride_and_prejudice_TFamil_P21,and before,2,-0.03468671813607216,0.03468671813607216,40.0
pride_and_prejudice_TFamil_P21,before she,2,-0.030704893171787262,0.030704893171787262,43.0
pride_and_prejudice_TFamil_P21,she could,2,-0.023663313128054142,0.023663313128054142,45.0
pride_and_prejudice_TFamil_P21,could answer,2,-0.00646368321031332,0.00646368321031332,57.0
pride_and_prejudice_TFamil_P21,answer the,2,0.007855478674173355,0.007855478674173355,54.0
pride_and_prejudice_TFamil_P21,the various,2,0.06371135823428631,0.06371135823428631,23.0
pride_and_prejudice_TFamil_P21,various entreaties,2,0.22797759994864464,0.22797759994864464,5.0
pride_and_prejudice_TFamil_P21,entreaties to,2,0.19247511588037014,0.19247511588037014,6.0
pride_and_prejudice_TFamil_P21,to sing,2,0.09014811553061008,0.09014811553061008,19.0
pride_and_prejudice_TFamil_P21,"sing again,",2,0.07519996631890535,0.07519996631890535,21.0
pride_and_prejudice_TFamil_P21,"again, she",2,0.06706407014280558,0.06706407014280558,22.0
pride_and_prejudice_TFamil_P21,she yielded,2,0.0941723994910717,0.0941723994910717,16.0
pride_and_prejudice_TFamil_P21,yielded the,2,0.046014443039894104,0.046014443039894104,33.0
pride_and_prejudice_TFamil_P21,the instrument,2,0.059696316719055176,0.059696316719055176,26.0
pride_and_prejudice_TFamil_P21,instrument eagerly,2,0.04700431553646922,0.04700431553646922,32.0
pride_and_prejudice_TFamil_P21,eagerly to,2,0.060488011222332716,0.060488011222332716,25.0
pride_and_prejudice_TFamil_P21,to her,2,0.05016825348138809,0.05016825348138809,31.0
pride_and_prejudice_TFamil_P21,her sister,2,-0.006690323352813721,0.006690323352813721,56.0
pride_and_prejudice_TFamil_P21,"sister Mary,",2,-0.012843108735978603,0.012843108735978603,49.0
pride_and_prejudice_TFamil_P21,"Mary, who,",2,-0.030765166506171227,0.030765166506171227,42.0
pride_and_prejudice_TFamil_P21,"who, being",2,0.01621661428362131,0.01621661428362131,47.0
pride_and_prejudice_TFamil_P21,being the,2,0.0433414988219738,0.0433414988219738,34.0
pride_and_prejudice_TFamil_P21,the only,2,0.030129970982670784,0.030129970982670784,44.0
pride_and_prejudice_TFamil_P21,only plain,2,0.015656459610909224,0.015656459610909224,48.0
pride_and_prejudice_TFamil_P21,plain sister,2,0.006861784029752016,0.006861784029752016,55.0
